category,output_class,precision,recall,f1-score,support
transport,weighted avg,0.9480527787086912,0.9563964656165962,0.9406306813656582,5206.0
buildings,0,0.9561061256340226,0.9967459833231646,0.9760031862989147,4917.0
buildings,1,0.8,0.22145328719723184,0.34688346883468835,289.0
buildings,macro avg,0.8780530628170113,0.6090996352601982,0.6614433275668015,5206.0
buildings,weighted avg,0.9474402266120802,0.9537072608528621,0.9410789453563175,5206.0
electricity,0,0.9782441278398152,0.9988205229015137,0.9884252504620173,5087.0
electricity,1,0.5,0.05042016806722689,0.0916030534351145,119.0
electricity,macro avg,0.7391220639199076,0.5246203454843703,0.540014151948566,5206.0
electricity,weighted avg,0.9673123085518901,0.9771417595082597,0.9679254730040455,5206.0
tools,0,0.9946215904725317,1.0,0.9973035439137135,5178.0
tools,1,0.0,0.0,0.0,28.0
tools,macro avg,0.49731079523626587,0.5,0.4986517719568567,5206.0
tools,weighted avg,0.9892721082341086,0.9946215904725317,0.9919396370313501,5206.0
hospitals,0,0.9898174831892411,0.9998059382883757,0.9947866383471713,5153.0
hospitals,1,0.0,0.0,0.0,53.0
hospitals,macro avg,0.49490874159462056,0.49990296914418786,0.49739331917358565,5206.0
hospitals,weighted avg,0.9797405860303803,0.9896273530541683,0.9846591524016468,5206.0
shops,0,0.9950057625816365,1.0,0.9974966300789524,5180.0
shops,1,0.0,0.0,0.0,26.0
shops,macro avg,0.49750288129081827,0.5,0.4987483150394762,5206.0
shops,weighted avg,0.990036467570664,0.9950057625816365,0.9925148950843206,5206.0
aid_centers,0,0.9888590088359586,1.0,0.9943983001738459,5148.0
aid_centers,1,0.0,0.0,0.0,58.0
aid_centers,macro avg,0.4944295044179793,0.5,0.49719915008692295,5206.0
aid_centers,weighted avg,0.9778421393560343,0.9888590088359586,0.9833197174980712,5206.0
other_infrastructure,0,0.9529027297193388,0.9995966928816293,0.9756913689597481,4959.0
other_infrastructure,1,0.5,0.008097165991902834,0.01593625498007968,247.0
other_infrastructure,macro avg,0.7264513648596693,0.5038469294367661,0.49581381196991386,5206.0
other_infrastructure,weighted avg,0.9314146440027279,0.9525547445255474,0.9301555423840704,5206.0
weather_related,0,0.8668917289606944,0.9627745045527585,0.912320771475701,3734.0
weather_related,1,0.8687440982058546,0.625,0.7269853812722245,1472.0
weather_related,macro avg,0.8678179135832745,0.7938872522763792,0.8196530763739627,5206.0
weather_related,weighted avg,0.8674154876101136,0.8672685363042643,0.8599170652944645,5206.0
floods,0,0.9457256461232605,0.9974837492136717,0.9709153995305644,4769.0
floods,1,0.9318181818181818,0.37528604118993136,0.5350734094616639,437.0
floods,macro avg,0.9387719139707211,0.6863848952018015,0.7529944044961141,5206.0
floods,weighted avg,0.9445582312363378,0.9452554744525548,0.9343301229919341,5206.0
storm,0,0.9424009700889249,0.9887616624257846,0.9650248344370861,4716.0
storm,1,0.7945736434108527,0.41836734693877553,0.5481283422459893,490.0
storm,macro avg,0.8684873067498888,0.70356450468228,0.7565765883415376,5206.0
storm,weighted avg,0.9284871417999784,0.9350749135612755,0.9257856332896336,5206.0
fire,0,0.9886582083813917,0.9998055987558321,0.994200657258844,5144.0
fire,1,0.75,0.04838709677419355,0.09090909090909091,62.0
fire,macro avg,0.8693291041906959,0.5240963477650128,0.5425548740839674,5206.0
fire,weighted avg,0.9858159477360505,0.9884748367268537,0.9834430550472257,5206.0
earthquake,0,0.9562268803945746,0.9944432571062193,0.9749607124148769,4679.0
